left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C015	C047	0.74297	0.867671	0.50908	0.591728	0.972379	0.683447	1.0	mutual_knn
C013	C066	0.732974	0.8716	0.564223	0.340787	0.93828	0.786358	1.0	mutual_knn
C078	C086	0.73291	0.803887	0.511146	0.780117	0.996111	0.680819	0.932769	mutual_knn
C225	C254	0.725076	0.793326	0.543053	0.672988	0.981981	0.75521	1.0	mutual_knn
C150	C409	0.715199	0.775293	0.57336	0.555449	1.0	0.751329	0.892452	mutual_knn
C006	C007	0.706191	0.737158	0.567372	0.677072	0.996935	0.727442	0.862282	mutual_knn
C029	C073	0.702481	0.71732	0.577984	0.714824	0.989434	0.838221	0.873898	mutual_knn
C012	C153	0.694868	0.701829	0.568059	0.742084	0.993274	0.820038	0.9463	mutual_knn
C071	C138	0.691173	0.737672	0.543006	0.606033	0.988317	0.736438	0.898329	mutual_knn
C042	C138	0.687251	0.758527	0.51982	0.534558	0.985862	0.769739	0.895967	mutual_knn
C698	C735	0.681004	0.711535	0.530246	0.67828	0.983343	0.727783	0.869039	mutual_knn
C109	C153	0.678433	0.74194	0.481434	0.643214	0.987116	0.656239	0.909408	mutual_knn
C017	C379	0.67639	0.665667	0.569943	0.739054	0.986678	0.843083	0.818247	mutual_knn
C033	C615	0.675948	0.703055	0.525984	0.671532	0.994717	0.815915	0.867111	mutual_knn
C010	C015	0.674376	0.698811	0.560053	0.582639	0.986909	0.752575	0.949593	mutual_knn
C012	C109	0.673786	0.727408	0.495301	0.627565	0.987353	0.741859	0.90137	mutual_knn
C010	C127	0.670666	0.703929	0.515294	0.66327	0.977865	0.713715	0.909418	mutual_knn
C524	C564	0.670273	0.683688	0.565518	0.606697	0.98104	0.725593	0.83912	mutual_knn
C001	C055	0.669883	0.708688	0.538591	0.546637	0.992983	0.834031	0.852456	mutual_knn
C042	C071	0.665453	0.631917	0.558347	0.829643	0.990259	0.768352	0.788453	mutual_knn
C567	C594	0.663503	0.686639	0.570742	0.513311	0.976296	0.814214	0.944005	mutual_knn
C121	C153	0.659944	0.675358	0.517738	0.688735	0.980704	0.705663	0.835858	mutual_knn
C005	C015	0.657219	0.682845	0.539735	0.547344	0.991416	0.752575	0.949593	mutual_knn
C051	C420	0.656798	0.698573	0.492739	0.618179	0.978723	0.686254	0.853545	mutual_knn
C001	C011	0.656106	0.662315	0.531415	0.6859	0.969343	0.731938	0.797428	mutual_knn
C012	C121	0.65488	0.655559	0.535865	0.673953	0.989455	0.820038	0.9463	mutual_knn
C005	C010	0.653467	0.633649	0.575331	0.661998	0.978437	0.747277	0.785165	mutual_knn
C091	C240	0.652761	0.675624	0.528183	0.59094	0.973997	0.698904	0.827509	mutual_knn
C125	C202	0.651168	0.637617	0.550707	0.706058	0.965422	0.735816	0.789968	mutual_knn
C038	C135	0.648923	0.684797	0.525448	0.527377	0.961524	0.732414	0.93534	mutual_knn
C543	C587	0.648421	0.686907	0.520198	0.533296	0.955778	0.692796	0.833084	mutual_knn
C044	C366	0.647355	0.687964	0.555426	0.427263	0.940188	0.807032	0.817969	mutual_knn
C510	C620	0.646646	0.679838	0.536453	0.541244	0.916667	0.704378	0.837903	mutual_knn
C068	C444	0.645243	0.67485	0.557289	0.499545	0.906765	0.725705	1.0	mutual_knn
C274	C378	0.644415	0.676965	0.44163	0.768007	0.966434	0.655714	0.845165	mutual_knn
C054	C254	0.644279	0.624882	0.559894	0.653596	0.985102	0.756251	0.866924	mutual_knn
C098	C320	0.642527	0.620277	0.523005	0.770811	0.984063	0.698971	0.816171	mutual_knn
C109	C121	0.642419	0.694651	0.45793	0.590606	0.986537	0.656239	0.909408	mutual_knn
C304	C657	0.642157	0.660515	0.523548	0.585785	0.962567	0.718774	0.835046	mutual_knn
C240	C521	0.64083	0.634514	0.528276	0.658714	0.992184	0.697118	0.797923	mutual_knn
C099	C343	0.640338	0.629416	0.553337	0.607626	0.988668	0.726165	0.775184	mutual_knn
C130	C174	0.639939	0.676695	0.521069	0.488712	0.963995	0.716999	0.864675	mutual_knn
C463	C501	0.638682	0.679368	0.520557	0.464057	0.964253	0.688209	0.912563	mutual_knn
C282	C590	0.637695	0.640068	0.575977	0.491509	0.957172	0.774481	0.927444	mutual_knn
C082	C409	0.637447	0.668974	0.48687	0.628693	0.940299	0.783739	0.870018	mutual_knn
C209	C826	0.63727	0.760833	0.453794	0.298595	0.908555	0.665618	0.922679	mutual_knn
C056	C078	0.637041	0.649413	0.466841	0.730339	0.992486	0.664849	0.792708	mutual_knn
C259	C521	0.636569	0.620779	0.509612	0.732957	1.0	0.685649	0.797923	mutual_knn
C067	C073	0.635058	0.660811	0.513265	0.520228	0.986501	0.703429	0.827189	mutual_knn
C851	C881	0.633549	0.654169	0.537995	0.492978	0.957686	0.728015	0.827761	mutual_knn
C110	C735	0.632004	0.660376	0.501617	0.549445	0.963863	0.758783	0.798299	mutual_knn
C059	C207	0.630672	0.628104	0.542512	0.553568	0.985102	0.706816	0.801653	mutual_knn
C010	C047	0.630123	0.663123	0.474996	0.573714	0.986915	0.666153	1.0	mutual_knn
C082	C150	0.629824	0.643731	0.512671	0.601268	0.940299	0.783739	0.870018	mutual_knn
C559	C756	0.629106	0.599129	0.578317	0.608627	0.951843	0.788741	0.931131	mutual_knn
C016	C044	0.628159	0.677271	0.480589	0.517297	0.936176	0.655853	0.887013	mutual_knn
C244	C549	0.627781	0.624526	0.560752	0.499866	0.973062	0.742481	0.793007	mutual_knn
C240	C494	0.626837	0.622196	0.518018	0.619925	0.983415	0.683312	0.823818	mutual_knn
C091	C521	0.626652	0.612725	0.528714	0.642354	0.974398	0.693548	0.801912	mutual_knn
C104	C353	0.625972	0.644735	0.49456	0.564543	0.987828	0.680747	0.910396	mutual_knn
C003	C125	0.625638	0.624225	0.52665	0.566594	0.988708	0.706593	0.796426	mutual_knn
C286	C342	0.625465	0.581231	0.564059	0.664774	0.991544	0.834757	0.932401	mutual_knn
C110	C698	0.62257	0.61443	0.543248	0.567678	0.956123	0.758783	0.792629	mutual_knn
C030	C358	0.620566	0.571376	0.573059	0.642353	0.987248	0.743903	0.824759	mutual_knn
C006	C018	0.619586	0.577732	0.533008	0.719105	0.989071	0.722954	0.801539	mutual_knn
C244	C688	0.618972	0.626982	0.550867	0.478444	0.92376	0.745999	0.81329	mutual_knn
