left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0280	P0659	0.662448	0.607731	0.614141	0.740198	1.0	0.777778	0.75	mutual_knn
P1124	P3320	0.659447	0.584485	0.631099	0.755447	1.0	0.777778	0.75	mutual_knn
P7854	P8965	0.657423	0.55078	0.645694	0.835785	1.0	0.8	0.75	mutual_knn
P0207	P1226	0.653476	0.582681	0.618256	0.748804	1.0	0.777778	0.75	mutual_knn
P1291	P2348	0.653265	0.583664	0.620078	0.735885	1.0	0.777778	0.75	mutual_knn
P11342	P17351	0.652698	0.624821	0.613999	0.566286	1.0	0.8	0.75	mutual_knn
P0492	P2453	0.652108	0.617597	0.616734	0.583323	1.0	0.777778	0.75	mutual_knn
P0227	P1505	0.651933	0.568821	0.587855	0.902142	1.0	0.777778	0.75	mutual_knn
P0599	P1468	0.6496	0.57326	0.626573	0.723321	1.0	0.777778	0.75	mutual_knn
P12548	P17413	0.648077	0.53751	0.634332	0.841816	1.0	0.8	0.75	mutual_knn
P1117	P4075	0.645263	0.574407	0.616286	0.710791	1.0	0.777778	0.75	mutual_knn
P2553	P6641	0.644116	0.520927	0.6478	0.829689	1.0	0.8	0.75	mutual_knn
P0375	P1145	0.643008	0.607983	0.604687	0.577749	1.0	0.777778	0.75	mutual_knn
P0088	P1145	0.642963	0.574474	0.610536	0.70762	1.0	0.777778	0.75	mutual_knn
P1915	P5157	0.642425	0.588102	0.608068	0.649549	1.0	0.777778	0.75	mutual_knn
P3426	P4246	0.641962	0.563195	0.590954	0.900238	0.916667	0.777778	0.75	mutual_knn
P4228	P6654	0.641656	0.59478	0.608315	0.610948	1.0	0.777778	0.75	mutual_knn
P1661	P4207	0.64048	0.548282	0.584932	0.890273	1.0	0.777778	0.75	mutual_knn
P1170	P3274	0.640475	0.547836	0.581362	0.904725	1.0	0.777778	0.75	mutual_knn
P11221	P6624	0.640126	0.53347	0.610682	0.863262	1.0	0.8	0.75	mutual_knn
P1273	P2484	0.638762	0.547561	0.574928	0.911341	1.0	0.777778	0.75	mutual_knn
P1135	P4140	0.638088	0.540339	0.583793	0.906083	1.0	0.777778	0.75	mutual_knn
P0219	P2254	0.637625	0.590568	0.614553	0.567752	1.0	0.777778	0.75	mutual_knn
P7071	P9992	0.637326	0.538647	0.608033	0.821229	1.0	0.8	0.75	mutual_knn
P0302	P1591	0.636938	0.576249	0.587054	0.721568	1.0	0.777778	0.75	mutual_knn
P4957	P6415	0.636909	0.581782	0.599186	0.716422	0.9375	0.777778	0.75	mutual_knn
P14123	P18791	0.636383	0.596226	0.592125	0.608371	1.0	0.8	0.75	mutual_knn
P1178	P4075	0.636339	0.601269	0.596299	0.570629	1.0	0.777778	0.75	mutual_knn
P1783	P5719	0.636304	0.548866	0.587682	0.898757	0.9375	0.777778	0.75	mutual_knn
P3569	P4227	0.636205	0.548849	0.571568	0.891744	1.0	0.777778	0.75	mutual_knn
P0358	P0388	0.635526	0.564235	0.592004	0.744188	1.0	0.777778	0.75	mutual_knn
P1132	P3175	0.635265	0.562795	0.596527	0.732227	1.0	0.777778	0.75	mutual_knn
P2676	P5242	0.635198	0.582959	0.601682	0.622775	1.0	0.777778	0.75	mutual_knn
P7624	P7645	0.63464	0.527894	0.563107	1.0	1.0	0.714286	0.666667	mutual_knn
P2129	P4420	0.634423	0.540484	0.576982	0.892621	1.0	0.777778	0.75	mutual_knn
P1460	P4317	0.634336	0.573202	0.605489	0.703567	0.941176	0.777778	0.75	mutual_knn
P0921	P1850	0.634037	0.594591	0.602381	0.556376	1.0	0.777778	0.75	mutual_knn
P1900	P2730	0.633931	0.575829	0.581931	0.711323	1.0	0.777778	0.75	mutual_knn
P3755	P5500	0.633492	0.545691	0.567623	0.892628	1.0	0.777778	0.75	mutual_knn
P0287	P2221	0.633011	0.544216	0.5826	0.892034	0.95	0.777778	0.75	mutual_knn
P0066	P0992	0.63295	0.580836	0.610974	0.577333	1.0	0.777778	0.75	mutual_knn
P0025	P1591	0.632773	0.56874	0.582995	0.727909	1.0	0.777778	0.75	mutual_knn
P14694	P8670	0.632694	0.517886	0.618465	0.831828	1.0	0.8	0.75	mutual_knn
P0526	P2928	0.632626	0.59165	0.597245	0.573474	1.0	0.777778	0.75	mutual_knn
P0005	P0614	0.632621	0.579851	0.609836	0.582459	1.0	0.777778	0.75	mutual_knn
P1311	P2924	0.632573	0.563059	0.581995	0.754981	1.0	0.777778	0.75	mutual_knn
P0098	P1595	0.632444	0.565716	0.582837	0.738791	1.0	0.777778	0.75	mutual_knn
P0360	P2466	0.632333	0.560897	0.606763	0.675616	1.0	0.7	0.666667	mutual_knn
P1475	P2612	0.632189	0.562886	0.586233	0.737083	1.0	0.777778	0.75	mutual_knn
P0860	P2756	0.63194	0.559897	0.582895	0.759727	1.0	0.777778	0.75	mutual_knn
