candidate_id	family_id	representative_candidate_id	membership
C031	F001	C031	representative
C093	F001	C031	variant
C175	F001	C031	variant
C074	F002	C074	representative
C112	F002	C074	variant
C183	F002	C074	variant
C088	F003	C110	variant
C110	F003	C110	representative
C134	F003	C110	variant
C152	F003	C110	variant
C153	F003	C110	variant
C075	F004	C123	variant
C086	F004	C123	variant
C100	F004	C123	variant
C102	F004	C123	variant
C121	F004	C123	variant
C123	F004	C123	representative
C157	F004	C123	variant
C024	F005	C024	representative
C057	F005	C024	variant
C076	F005	C024	variant
C140	F005	C024	variant
C164	F005	C024	variant
C028	F006	C028	representative
C029	F006	C028	variant
C056	F006	C028	variant
C186	F006	C028	variant
C043	F007	C108	variant
C085	F007	C108	variant
C108	F007	C108	representative
C118	F007	C108	variant
C163	F007	C108	variant
C017	F008	C091	variant
C027	F008	C091	variant
C044	F008	C091	variant
C048	F008	C091	variant
C054	F008	C091	variant
C059	F008	C091	variant
C091	F008	C091	representative
C130	F008	C091	variant
C138	F009	C138	representative
C167	F009	C138	variant
C003	F010	C003	representative
C006	F010	C003	variant
C007	F010	C003	variant
C016	F010	C003	variant
C020	F010	C003	variant
C037	F010	C003	variant
C087	F010	C003	variant
C096	F010	C003	variant
C097	F010	C003	variant
C103	F010	C003	variant
C181	F010	C003	variant
C014	F011	C014	representative
C038	F011	C014	variant
C047	F011	C014	variant
C053	F011	C014	variant
C071	F011	C014	variant
C089	F011	C014	variant
C122	F011	C014	variant
C137	F011	C014	variant
C174	F011	C014	variant
C063	F012	C178	variant
C066	F012	C178	variant
C127	F012	C178	variant
C139	F012	C178	variant
C178	F012	C178	representative
C194	F012	C178	variant
C195	F012	C178	variant
C196	F012	C178	variant
C035	F013	C035	representative
C040	F013	C035	variant
C073	F013	C035	variant
C082	F013	C035	variant
C184	F013	C035	variant
C199	F013	C035	variant
C203	F013	C035	variant
C204	F013	C035	variant
C002	F014	C008	variant
C008	F014	C008	representative
C049	F014	C008	variant
C051	F014	C008	variant
C058	F014	C008	variant
C060	F014	C008	variant
C061	F014	C008	variant
C077	F014	C008	variant
C078	F014	C008	variant
C125	F014	C008	variant
C132	F014	C008	variant
C133	F014	C008	variant
C155	F014	C008	variant
C202	F014	C008	variant
C023	F015	C023	representative
C025	F015	C023	variant
C033	F015	C023	variant
C036	F015	C023	variant
C052	F015	C023	variant
C081	F015	C023	variant
C101	F015	C023	variant
C117	F015	C023	variant
C162	F015	C023	variant
C168	F015	C023	variant
C205	F015	C023	variant
C004	F016	C004	representative
C046	F016	C004	variant
C050	F016	C004	variant
C068	F016	C004	variant
C069	F016	C004	variant
C120	F016	C004	variant
C126	F016	C004	variant
C201	F016	C004	variant
C094	F017	C169	variant
C111	F017	C169	variant
C144	F017	C169	variant
C166	F017	C169	variant
C169	F017	C169	representative
C171	F017	C169	variant
C176	F017	C169	variant
C177	F017	C169	variant
C179	F017	C169	variant
C190	F017	C169	variant
C018	F018	C141	variant
C039	F018	C141	variant
C079	F018	C141	variant
C105	F018	C141	variant
C113	F018	C141	variant
C128	F018	C141	variant
C141	F018	C141	representative
C160	F018	C141	variant
C185	F018	C141	variant
C192	F018	C141	variant
C206	F018	C141	variant
C001	F019	C001	representative
C005	F019	C001	variant
C009	F019	C001	variant
C011	F019	C001	variant
C012	F019	C001	variant
C013	F019	C001	variant
C015	F019	C001	variant
C021	F019	C001	variant
C026	F019	C001	variant
C030	F019	C001	member
C034	F019	C001	variant
C045	F019	C001	variant
C064	F019	C001	variant
C080	F019	C001	variant
C084	F019	C001	variant
C116	F019	C001	variant
C119	F019	C001	variant
C131	F019	C001	variant
C149	F019	C001	variant
C156	F019	C001	variant
C172	F019	C001	variant
C022	F020	C072	variant
C041	F020	C072	variant
C072	F020	C072	representative
C083	F020	C072	variant
C095	F020	C072	variant
C104	F020	C072	variant
C114	F020	C072	variant
C135	F020	C072	variant
C136	F020	C072	variant
C142	F020	C072	variant
C145	F020	C072	variant
C148	F020	C072	variant
C197	F020	C072	variant
C010	F021	C019	variant
C019	F021	C019	representative
C032	F021	C019	variant
C042	F021	C019	variant
C055	F021	C019	variant
C070	F021	C019	variant
C099	F021	C019	variant
C107	F021	C019	variant
C146	F021	C019	variant
C158	F021	C019	variant
C170	F021	C019	variant
C065	F022	C090	variant
C067	F022	C090	variant
C090	F022	C090	representative
C106	F022	C090	variant
C115	F022	C090	variant
C124	F022	C090	variant
C151	F022	C090	variant
C154	F022	C090	variant
C159	F022	C090	variant
C180	F022	C090	variant
C188	F022	C090	variant
C191	F022	C090	variant
C062	F023	C129	variant
C092	F023	C129	variant
C098	F023	C129	variant
C109	F023	C129	variant
C129	F023	C129	representative
C143	F023	C129	variant
C147	F023	C129	variant
C150	F023	C129	variant
C161	F023	C129	variant
C165	F023	C129	variant
C173	F023	C129	variant
C182	F023	C129	variant
C187	F023	C129	variant
C189	F023	C129	variant
C193	F023	C129	variant
C198	F023	C129	variant
C200	F023	C129	variant
