qac_root_norm	qac_total_occurrences	matched_occurrences	mapping_status	dominant_frozen_root_norm	dominant_furuq_root_id	dominant_furuq_root_norm	dominant_furuq_source_root_norm	dominant_resolution	dominant_occurrences	targets	status_counts	sample_refs	sample_surfaces
ء ب ب	1	1	unique	ء ب ب	root_000003	ء ب ب	أ ب ب	root_norm_unique	1	ء ب ب=>root_000003=>ء ب ب=>أ ب ب=>root_norm_unique:1	same_word_same_root:1	80:31:4	أَبًّۭا
ء ب د	28	28	unique	ء ب د	root_000004	ء ب د	أ ب د	root_norm_unique	28	ء ب د=>root_000004=>ء ب د=>أ ب د=>root_norm_unique:28	same_word_same_root:28	2:95:4|4:57:15|4:122:15|4:169:6|5:24:7|5:119:17|9:22:3|9:83:17	أَبَدًا|أَبَدًۭا|أَبَدَاً
ء ب ق	1	1	unique	ء ب ق	root_000005	ء ب ق	أ ب ق	root_norm_unique	1	ء ب ق=>root_000005=>ء ب ق=>أ ب ق=>root_norm_unique:1	same_word_same_root:1	37:140:2	أَبَقَ
ء ب ل	3	3	unique	ء ب ل	root_000006	ء ب ل	أ ب ل	root_norm_unique	3	ء ب ل=>root_000006=>ء ب ل=>أ ب ل=>root_norm_unique:3	same_word_same_root:3	6:144:3|88:17:5|105:3:5	ٱلْإِبِلِ|أَبَابِيلَ
ء ب و	117	68	unique	ء ب و	root_000007	ء ب و	أ ب و	root_norm_unique	68	ء ب و=>root_000007=>ء ب و=>أ ب و=>root_norm_unique:68	same_word_same_root:68	2:170:16|2:200:10|5:104:19|6:74:6|7:28:8|7:95:12|9:23:7|9:114:7	ءَابَآءَنَآ|ءَابَآءَكُمْ|أَبِيهِ|ءَابَآءَنَا|ءَابَاءَنَا|أَبَتِ|أَبِينَا|أَبَانَا
ء ب ي	13	13	split	ء ب ي	root_000008	ء ب ي	أ ب ي	root_norm_unique	10	ء ب ي=>root_000008=>ء ب ي=>أ ب ي=>root_norm_unique:10|ء ب و=>root_000007=>ء ب و=>أ ب و=>root_norm_unique:3	same_word_root_diff:3|same_word_same_root:10	2:34:13|9:8:17|9:32:9|15:31:3|17:89:14|17:99:25|20:56:10|20:116:13	أَبَى|تَأْبَىٰ|يَأْبَى|أَبَىٰ|أَبَىٰٓ|أَبَيْنَ|يَأْبَ|أَبَوْا۟
ء ت ي	549	362	unique	ء ت ي	root_000009	ء ت ي	أ ت ي	root_norm_unique	362	ء ت ي=>root_000009=>ء ت ي=>أ ت ي=>root_norm_unique:362	same_word_same_root:362	2:23:11|2:25:29|2:38:7|2:53:3|2:63:11|2:87:4|2:87:14|2:93:11	أْتُوا۟|أُتُوا۟|يَأْتِيَنَّكُمْ|ءَاتَيْنَا|ءَاتَيْنَٰكُم|آتَيْنَا|أُوتُوا۟|نَأْتِ
ء ث ث	2	1	unique	ء ث ث	root_000010	ء ث ث	أ ث ث	root_norm_unique	1	ء ث ث=>root_000010=>ء ث ث=>أ ث ث=>root_norm_unique:1	same_word_same_root:1	16:80:28	أَثَٰثًۭا
ء ث ر	21	10	split	ء ث ر	root_000011	ء ث ر	أ ث ر	root_norm_unique	9	ء ث ر=>root_000011=>ء ث ر=>أ ث ر=>root_norm_unique:9|ث و ر=>root_000210=>ث و ر=>ث و ر=>source_root_norm:1	same_word_root_diff:1|same_word_same_root:9	12:91:6|20:84:5|20:96:12|30:50:4|40:21:21|40:82:21|48:29:25|74:24:7	ءَاثَرَكَ|أَثَرِى|أَثَرِ|ءَاثَٰرِ|ءَاثَارًۭا|يُؤْثَرُ|ءَاثَرَ|أَثَٰرَةٍ
ء ث ل	1	1	unique	ء ث ل	root_000012	ء ث ل	أ ث ل	root_norm_unique	1	ء ث ل=>root_000012=>ء ث ل=>أ ث ل=>root_norm_unique:1	same_word_same_root:1	34:16:17	أَثْلٍۢ
ء ث م	48	48	unique	ء ث م	root_000013	ء ث م	أ ث م	root_norm_unique	48	ء ث م=>root_000013=>ء ث م=>أ ث م=>root_norm_unique:48	same_word_same_root:48	2:85:15|2:173:27|2:181:8|2:182:8|2:182:14|2:188:20|2:203:14|2:203:21	ٱلْإِثْمِ|إِثْمَ|إِثْمُهُۥ|إِثْمًا|إِثْمٌۭ|إِثْمُهُمَآ|أَثِيمٍ|آثِمٌ
ء ج ج	3	3	unique	ء ج ج	root_000014	ء ج ج	أ ج ج	root_norm_unique	3	ء ج ج=>root_000014=>ء ج ج=>أ ج ج=>root_norm_unique:3	same_word_same_root:3	25:53:12|35:12:13|56:70:4	أُجَاجٌ|أُجَاجًۭا
ء ج ر	108	105	unique	ء ج ر	root_000015	ء ج ر	أ ج ر	root_norm_unique	105	ء ج ر=>root_000015=>ء ج ر=>أ ج ر=>root_norm_unique:105	same_word_same_root:105	2:62:24|2:112:12|2:262:18|2:274:14|2:277:15|3:57:10|3:136:16|3:171:13	أَجْرُهُمْ|أَجْرُهُۥ|أُجُورَهُمْ|أَجْرُ|أَجْرَ|أَجْرٌ|أُجُورَكُمْ|أُجُورَهُنَّ
ء ج ل	56	56	unique	ء ج ل	root_000016	ء ج ل	أ ج ل	root_norm_unique	56	ء ج ل=>root_000016=>ء ج ل=>أ ج ل=>root_norm_unique:56	same_word_same_root:56	2:231:7|2:232:7|2:234:18|2:235:37|2:282:10|2:282:112|3:145:13|4:77:42	أَجَلَهُنَّ|أَجَلَهُ|أَجَلٍۢ|أَجَلِهِۦ|مُّؤَجَّلًا|أَجَلٍ|أَجْلِ|أَجَلًۭا
ء ح د	85	79	unique	ء ح د	root_000017	ء ح د	أ ح د	root_norm_unique	79	ء ح د=>root_000017=>ء ح د=>أ ح د=>root_norm_unique:79	same_word_same_root:79	2:96:13|2:102:34|2:102:60|2:136:37|2:180:5|2:266:2|2:285:24|3:73:16	أَحَدُهُمْ|أَحَدٍ|أَحَدَكُمُ|أَحَدُكُمْ|أَحَدٍۢ|أَحَدٌ|أَحَدِهِمْ|أَحَدَهُمُ
ء خ ذ	273	232	unique	ء خ ذ	root_000018	ء خ ذ	أ خ ذ	root_norm_unique	232	ء خ ذ=>root_000018=>ء خ ذ=>أ خ ذ=>root_norm_unique:232	same_word_same_root:232	2:48:17|2:51:8|2:54:13|2:55:14|2:63:3|2:63:9|2:80:10|2:83:3	يُؤْخَذُ|ٱتَّخَذْتُمُ|ٱتِّخَاذِكُمُ|أَخَذَتْكُمُ|أَخَذْنَا|خُذُوا۟|أَتَّخَذْتُمْ|اتَّخَذْتُمُ
ء خ ر	250	234	unique	ء خ ر	root_000019	ء خ ر	أ خ ر	root_norm_unique	234	ء خ ر=>root_000019=>ء خ ر=>أ خ ر=>root_norm_unique:234	same_word_same_root:234	2:4:15|2:8:12|2:62:17|2:86:7|2:94:6|2:102:82|2:114:33|2:126:22	الْآخِرَةِ|ٱلْءَاخِرِ|ٱلْءَاخِرَةِ|ٱلْءَاخِرَةُ|أُخَرَ|ٱلْآخِرَةِ|تَأَخَّرَ|ٱلْأُخْرَىٰ
ء خ و	96	68	unique	ء خ و	root_000020	ء خ و	أ خ و	root_norm_unique	68	ء خ و=>root_000020=>ء خ و=>أ خ و=>root_norm_unique:68	same_word_same_root:68	2:178:26|3:103:26|4:11:60|4:12:70|4:12:72|4:23:14|4:23:17|4:23:61	أَخِيهِ|إِخْوَٰنًۭا|إِخْوَةٌ|أَخٌ|أُخْتٌ|ٱلْأَخِ|ٱلْأُخْتِ|ٱلْأُخْتَيْنِ
ء د د	1	1	unique	ء د ي	root_000021	ء د ي	أ د ي	root_norm_unique	1	ء د ي=>root_000021=>ء د ي=>أ د ي=>root_norm_unique:1	same_word_root_diff:1	19:89:5	إِدًّۭا
ء د ي	6	3	split	ء د ي	root_000021	ء د ي	أ د ي	root_norm_unique	2	ء د ي=>root_000021=>ء د ي=>أ د ي=>root_norm_unique:2|و د د=>root_001634=>و د د=>و د د=>source_root_norm:1	same_word_root_diff:1|same_word_same_root:2	2:178:33|44:18:2|2:283:20	أَدَآءٌ|أَدُّوٓا۟|يُؤَدِّ
ء ذ ن	102	82	unique	ء ذ ن	root_000022	ء ذ ن	أ ذ ن	root_norm_unique	82	ء ذ ن=>root_000022=>ء ذ ن=>أ ذ ن=>root_norm_unique:82	same_word_same_root:82	2:97:13|2:102:63|2:213:50|2:221:45|2:249:70|2:251:4|2:255:29|2:279:6	إِذْنِ|إِذْنِهِۦ|إِذْنِهِ|أْذَنُوا|ءَاذَانَ|ٱلْأُذُنَ|ٱلْأُذُنِ|إِذْنِى
ء ذ ي	24	14	unique	ء ذ ي	root_000023	ء ذ ي	أ ذ ي	root_norm_unique	14	ء ذ ي=>root_000023=>ء ذ ي=>أ ذ ي=>root_norm_unique:14	same_word_same_root:14	2:196:31|2:222:7|2:262:15|2:263:9|2:264:11|3:111:4|3:186:20|3:195:27	أَذًى|أَذًۭى|ٱلْأَذَىٰ|أُوذُوا۟|ءَاذُوهُمَا|أُوذُوا|أُوذِينَا|أُوذِيَ
ء ر ب	2	1	unique	ء ر ب	root_000024	ء ر ب	أ ر ب	root_norm_unique	1	ء ر ب=>root_000024=>ء ر ب=>أ ر ب=>root_norm_unique:1	same_word_same_root:1	20:18:13	مَـَٔارِبُ
ء ر ض	461	461	unique	ء ر ض	root_000025	ء ر ض	أ ر ض	root_norm_unique	461	ء ر ض=>root_000025=>ء ر ض=>أ ر ض=>root_norm_unique:461	same_word_same_root:461	2:11:9|2:22:4|2:27:19|2:29:7|2:30:10|2:33:21|2:36:20|2:60:34	ٱلْأَرْضِ|ٱلْأَرْضَ|ٱلْأَرْضُ|الْأَرْضِ|أَرْضُ|أَرْضِ|أَرْضِكُمْ|الْأَرْضَ
ء ر ك	5	5	unique	ء ر ك	root_000026	ء ر ك	أ ر ك	root_norm_unique	5	ء ر ك=>root_000026=>ء ر ك=>أ ر ك=>root_norm_unique:5	same_word_same_root:5	18:31:27|36:56:7|76:13:4|83:23:2|83:35:2	ٱلْأَرَآئِكِ|ٱلْأَرَآئِكِ
ء ز ر	2	2	unique	ء ز ر	root_000027	ء ز ر	أ ز ر	root_norm_unique	2	ء ز ر=>root_000027=>ء ز ر=>أ ز ر=>root_norm_unique:2	same_word_same_root:2	20:31:3|48:29:40	أَزْرِى|آزَرَهُ
ء ز ز	2	1	unique	ء ز ز	root_000028	ء ز ز	أ ز ز	root_norm_unique	1	ء ز ز=>root_000028=>ء ز ز=>أ ز ز=>root_norm_unique:1	same_word_same_root:1	19:83:9	أَزًّا
