root_norm	stem	form_tag	frame_signature	instance_count	sample_refs	object_status_profile	prep_profile	object_root_profile	prep_object_root_profile	surah_count
r-m-y	رمي	IV	obj=clitic|prep=بـ|clause=no|cognate=no	1	105:4:1	clitic:1	بـ:1		ح ج ر:1	1
r-m-y	رمي	IV	obj=none_absolute|prep=بـ|clause=no|cognate=no	1	77:32:2	none_absolute:1	بـ:1		ش ر ر:1	1
r-m-y	رمي	PV	obj=none_absolute|prep=-|clause=no|cognate=no	2	8:17:10;8:17:12	none_absolute:2				1
أ ب ق	أبق	PV	obj=none_intransitive|prep=إِلَى|clause=no|cognate=no	1	37:140:2	none_intransitive:1	إِلَى:1		ف ل ك:1	1
أ ب و	أب	IV	obj=clausal|prep=-|clause=yes|cognate=no	1	2:282:23	clausal:1				1
أ ب و	أب	IV	obj=none_absolute|prep=-|clause=no|cognate=no	1	2:282:98	none_absolute:1				1
أ ب و	أب	PV	obj=clausal|prep=-|clause=yes|cognate=no	1	18:77:11	clausal:1				1
أ ب و	أبي	PV	obj=clausal|prep=-|clause=yes|cognate=no	1	33:72:11	clausal:1				1
أ ب ي	أبى	IV	obj=clausal|prep=-|clause=yes|cognate=no	1	9:32:9	clausal:1				1
أ ب ي	أبى	IV	obj=none_intransitive|prep=-|clause=no|cognate=no	1	9:8:17	none_intransitive:1				1
أ ب ي	أبى	PV	obj=clausal|prep=-|clause=yes|cognate=no	1	15:31:3	clausal:1				1
أ ب ي	أبى	PV	obj=explicit|prep=-|clause=no|cognate=no	3	17:89:14;17:99:25;25:50:9	explicit:3		ك ف ر:3		2
أ ب ي	أبى	PV	obj=none_absolute|prep=-|clause=no|cognate=no	3	2:34:13;20:56:10;20:116:13	none_absolute:3				2
أ ت ي	آت	CV	obj=both|prep=-|clause=no|cognate=no	15	2:201:6;3:194:3;4:2:2;4:4:2;4:24:31;4:33:16;7:38:33;17:26:2;18:62:7;18:96:1	both:15		ح س ن:2;أ ج ر:2;ذ و و:2;ح ق ق:2;ي ت م:1;م و ل:1;ن س و:1;ص د ق:1;ن ص ب:1;ع ذ ب:1		10
أ ت ي	آت	CV	obj=both|prep=بـ|clause=no|cognate=no	1	4:25:33	both:1	بـ:1	أ ج ر:1	ع ر ف:1	1
أ ت ي	آت	CV	obj=both|prep=مِن|clause=no|cognate=no	1	18:10:9	both:1	مِن:1	ر ح م:1	ل د ن:1	1
أ ت ي	آت	CV	obj=clitic|prep=-|clause=no|cognate=no	1	18:96:16	clitic:1				1
أ ت ي	آت	CV	obj=clitic|prep=فِي|clause=no|cognate=no	1	2:200:20	clitic:1	فِي:1		د ن و:1	1
أ ت ي	آت	CV	obj=clitic|prep=مِن|clause=no|cognate=no	1	24:33:27	clitic:1	مِن:1		م و ل:1	1
أ ت ي	آت	CV	obj=explicit|prep=-|clause=no|cognate=no	13	2:43:5;2:83:31;2:110:5;2:277:11;4:77:14;6:141:30;9:5:28;9:11:8;22:41:9;22:78:42	explicit:13		ز ك و:12;ح ق ق:1		8
أ ت ي	آت	PV	obj=both|prep=-|clause=no|cognate=no	2	12:31:14;12:66:20	both:2		ك ل ل:1;س ك ن:1;و ث ق:1		1
أ ت ي	آت	PV	obj=clitic|prep=-|clause=no|cognate=no	1	33:14:11	clitic:1				1
أ ت ي	آت	PV	obj=explicit|prep=-|clause=no|cognate=no	3	2:265:21;18:33:3;23:60:5	explicit:3		أ ك ل:2		3
أ ت ي	آتا	PV	obj=both|prep=-|clause=no|cognate=no	16	2:251:11;2:258:10;3:148:2;5:20:21;6:165:17;7:190:3;7:190:9;9:59:6;19:30:5;47:17:7	both:16		م ل ك:2;ث و ب:1;ح س ن:1;ص ل ح:1;ك ت ب:1;و ق ي:1		13
