root_arabic	form_tag	form_tag_available	instance_count	legacy_instance_count	referent_total	resolution_coverage	dominant_referent	dominant_ratio	agency	referent_entropy	referent_dist	source	batch_count	low_occurrence
أ ب د	ADV	True	28	28	1	0.036	OTHER	1.0	mixed	0.0	"{""OTHER"": 1}"	legacy	15	False
أ ب ق	PV:I	True	1	1	3	3.0	PROPHET_OTHER	1.0	mixed	0.0	"{""PROPHET_OTHER"": 3}"	legacy	1	True
أ ب ل	NOUN_CONCRETE	True	3	3	1	0.333	NATURE_CREATION	1.0	mixed	0.0	"{""NATURE_CREATION"": 1}"	legacy	3	True
أ ب و	IV:I	True	2	0	171	0.0	HUMANS_GENERIC	0.322	mixed	2.553	"{""ABSTRACT_CONCEPT"": 1, ""BELIEVERS"": 10, ""DISBELIEVERS"": 20, ""HUMANS_GENERIC"": 55, ""OTHER"": 17, ""PROPHET_MUHAMMAD"": 2, ""PROPHET_OTHER"": 36, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 28}"	legacy	1	True
أ ب و	NOUN_CONCRETE	True	79	119	171	1.437	HUMANS_GENERIC	0.322	mixed	2.553	"{""ABSTRACT_CONCEPT"": 1, ""BELIEVERS"": 10, ""DISBELIEVERS"": 20, ""HUMANS_GENERIC"": 55, ""OTHER"": 17, ""PROPHET_MUHAMMAD"": 2, ""PROPHET_OTHER"": 36, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 28}"	legacy	33	False
أ ب و	NOUN_FIVE	True	38	0	171	0.0	HUMANS_GENERIC	0.322	mixed	2.553	"{""ABSTRACT_CONCEPT"": 1, ""BELIEVERS"": 10, ""DISBELIEVERS"": 20, ""HUMANS_GENERIC"": 55, ""OTHER"": 17, ""PROPHET_MUHAMMAD"": 2, ""PROPHET_OTHER"": 36, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 28}"	legacy	17	False
أ ب و	PV:I	True	1	0	171	0.0	HUMANS_GENERIC	0.322	mixed	2.553	"{""ABSTRACT_CONCEPT"": 1, ""BELIEVERS"": 10, ""DISBELIEVERS"": 20, ""HUMANS_GENERIC"": 55, ""OTHER"": 17, ""PROPHET_MUHAMMAD"": 2, ""PROPHET_OTHER"": 36, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 28}"	legacy	1	True
أ ب ي	IV:I	True	2	0	6	0.0	ABSTRACT_CONCEPT	0.333	mixed	1.918	"{""ABSTRACT_CONCEPT"": 2, ""NATURE_CREATION"": 1, ""SATAN"": 2, ""SPECIFIC_PERSON"": 1}"	legacy	1	True
أ ب ي	PV:I	True	8	10	6	0.6	ABSTRACT_CONCEPT	0.333	mixed	1.918	"{""ABSTRACT_CONCEPT"": 2, ""NATURE_CREATION"": 1, ""SATAN"": 2, ""SPECIFIC_PERSON"": 1}"	legacy	6	False
أ ت ي	CV:I	True	37	543	680	1.252	HUMANS_GENERIC	0.254	mixed	3.12	"{""ABSTRACT_CONCEPT"": 32, ""ANGELS"": 1, ""BANU_ISRAEL"": 8, ""BELIEVERS"": 25, ""DISBELIEVERS"": 76, ""GOD"": 140, ""HUMANS_GENERIC"": 173, ""HYPOCRITES"": 7, ""NATURE_CREATION"": 17, ""OTHER"": 68, ""PEOPLE_OF_BOOK"": 5, ""PROPHET_MUHAMMAD"": 28, ""PROPHET_OTHER"": 72, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 26}"	legacy	21	False
أ ت ي	CV:IV	True	33	0	680	0.0	HUMANS_GENERIC	0.254	mixed	3.12	"{""ABSTRACT_CONCEPT"": 32, ""ANGELS"": 1, ""BANU_ISRAEL"": 8, ""BELIEVERS"": 25, ""DISBELIEVERS"": 76, ""GOD"": 140, ""HUMANS_GENERIC"": 173, ""HYPOCRITES"": 7, ""NATURE_CREATION"": 17, ""OTHER"": 68, ""PEOPLE_OF_BOOK"": 5, ""PROPHET_MUHAMMAD"": 28, ""PROPHET_OTHER"": 72, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 26}"	legacy	17	False
أ ت ي	GERUND	True	3	0	680	0.0	HUMANS_GENERIC	0.254	mixed	3.12	"{""ABSTRACT_CONCEPT"": 32, ""ANGELS"": 1, ""BANU_ISRAEL"": 8, ""BELIEVERS"": 25, ""DISBELIEVERS"": 76, ""GOD"": 140, ""HUMANS_GENERIC"": 173, ""HYPOCRITES"": 7, ""NATURE_CREATION"": 17, ""OTHER"": 68, ""PEOPLE_OF_BOOK"": 5, ""PROPHET_MUHAMMAD"": 28, ""PROPHET_OTHER"": 72, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 26}"	legacy	3	True
أ ت ي	IV:I	True	168	0	680	0.0	HUMANS_GENERIC	0.254	mixed	3.12	"{""ABSTRACT_CONCEPT"": 32, ""ANGELS"": 1, ""BANU_ISRAEL"": 8, ""BELIEVERS"": 25, ""DISBELIEVERS"": 76, ""GOD"": 140, ""HUMANS_GENERIC"": 173, ""HYPOCRITES"": 7, ""NATURE_CREATION"": 17, ""OTHER"": 68, ""PEOPLE_OF_BOOK"": 5, ""PROPHET_MUHAMMAD"": 28, ""PROPHET_OTHER"": 72, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 26}"	legacy	51	False
أ ت ي	IV:IV	True	51	0	680	0.0	HUMANS_GENERIC	0.254	mixed	3.12	"{""ABSTRACT_CONCEPT"": 32, ""ANGELS"": 1, ""BANU_ISRAEL"": 8, ""BELIEVERS"": 25, ""DISBELIEVERS"": 76, ""GOD"": 140, ""HUMANS_GENERIC"": 173, ""HYPOCRITES"": 7, ""NATURE_CREATION"": 17, ""OTHER"": 68, ""PEOPLE_OF_BOOK"": 5, ""PROPHET_MUHAMMAD"": 28, ""PROPHET_OTHER"": 72, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 26}"	legacy	27	False
أ ت ي	IV_PASS:I	True	1	0	680	0.0	HUMANS_GENERIC	0.254	mixed	3.12	"{""ABSTRACT_CONCEPT"": 32, ""ANGELS"": 1, ""BANU_ISRAEL"": 8, ""BELIEVERS"": 25, ""DISBELIEVERS"": 76, ""GOD"": 140, ""HUMANS_GENERIC"": 173, ""HYPOCRITES"": 7, ""NATURE_CREATION"": 17, ""OTHER"": 68, ""PEOPLE_OF_BOOK"": 5, ""PROPHET_MUHAMMAD"": 28, ""PROPHET_OTHER"": 72, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 26}"	legacy	1	True
أ ت ي	IV_PASS:IV	True	6	0	680	0.0	HUMANS_GENERIC	0.254	mixed	3.12	"{""ABSTRACT_CONCEPT"": 32, ""ANGELS"": 1, ""BANU_ISRAEL"": 8, ""BELIEVERS"": 25, ""DISBELIEVERS"": 76, ""GOD"": 140, ""HUMANS_GENERIC"": 173, ""HYPOCRITES"": 7, ""NATURE_CREATION"": 17, ""OTHER"": 68, ""PEOPLE_OF_BOOK"": 5, ""PROPHET_MUHAMMAD"": 28, ""PROPHET_OTHER"": 72, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 26}"	legacy	5	False
أ ت ي	NOUN_ACTIVE_PART	True	13	0	680	0.0	HUMANS_GENERIC	0.254	mixed	3.12	"{""ABSTRACT_CONCEPT"": 32, ""ANGELS"": 1, ""BANU_ISRAEL"": 8, ""BELIEVERS"": 25, ""DISBELIEVERS"": 76, ""GOD"": 140, ""HUMANS_GENERIC"": 173, ""HYPOCRITES"": 7, ""NATURE_CREATION"": 17, ""OTHER"": 68, ""PEOPLE_OF_BOOK"": 5, ""PROPHET_MUHAMMAD"": 28, ""PROPHET_OTHER"": 72, ""SELF_REFERENCE"": 2, ""SPECIFIC_PERSON"": 26}"	legacy	11	False
